date,visits,bounce_rate,average_visit_duration,unique_visitors,pages_per_visit,total_page_views,monthly_change_visits,monthly_change_bounce_rate,monthly_change_average_visit_duration,monthly_change_unique_visitors,monthly_change_pages_per_visit,monthly_change_total_page_views,site
2018-09-01,9123693.96613621,0.5057433794703926,187.5493879081623,87828709.03135745,4.105200175785841,37454590.073598586,,,,,,,tractorsupply
2018-10-01,10407668.51777109,0.5062126014684726,187.06263377590562,96332634.01379314,4.052303875452453,42175035.46898827,0.14072968212223258,0.0009277867336026091,-0.0025953384209124186,0.09682397790225439,-0.012885193917069437,0.12603115896113048,tractorsupply
2018-11-01,15386833.716653485,0.5018440943976121,195.38496236657153,99757724.44791055,4.178042890189184,64286851.212387316,0.4784131230141,-0.008629787283421675,0.04448952964404285,0.03555483008620941,0.031029019195331742,0.5242868321867349,tractorsupply
2018-12-01,12660438.542955201,0.5050898763880063,191.49262086241578,90891184.69141664,4.269832731271098,54057954.88295629,-0.17719013696414032,0.006467709845804359,-0.01992139751703681,-0.08888073385358408,0.0219695784592,-0.15911335112117053,tractorsupply
2019-01-01,9400334.627245348,0.48299926383968345,203.23999751963618,96106892.427063,4.464887247019799,41971434.19490638,-0.2575032377155617,-0.04373600339467698,0.06134636731334253,0.05738408794377747,0.04568200396239752,-0.2235844976788166,tractorsupply
2019-02-01,8186291.148686362,0.49351736064564633,194.753448665186,85688870.17549394,4.199121742784481,34375233.15521305,-0.12914896402094844,0.021776631132618185,-0.04175629284599969,-0.1084003653481509,-0.059523452560355294,-0.18098502434818386,tractorsupply
2019-03-01,11098293.198284011,0.49231870604161787,196.47685189988908,101270463.41294353,4.158653826102401,46153959.47225005,0.35571689263274386,-0.0024287992674874026,0.00884915387385976,0.18183917240988134,-0.009637233488554497,0.34265153239406443,tractorsupply
2019-04-01,11297239.23606484,0.49684821184309247,190.30789616229202,104532596.20228246,4.102047614761656,46341813.26169156,0.01792582284738975,0.00920035283219911,-0.03139787551533213,0.03221208513717522,-0.013611667070110078,0.004070155444723111,tractorsupply
2019-05-01,12840695.288932605,0.5117511404864064,184.65138648295965,113202357.28000323,3.975883881695302,51053113.429027945,0.13662241018500332,0.02999493263351094,-0.02972293737359477,0.08293835026295349,-0.030756281963266296,0.10166413085158621,tractorsupply
2019-06-01,10626825.292168746,0.5054155498011467,178.05076913227725,97607749.0597545,3.9234745336933816,41694078.4078328,-0.17241044561442043,-0.012380218008381738,-0.03574637307850126,-0.13775868802516056,-0.013181810526008975,-0.18331957431363533,tractorsupply
2019-07-01,10350241.212478112,0.5100260789727336,184.655557745846,97765375.38306768,4.073419915131095,42160878.68131895,-0.02602697156360112,0.009122254298271848,0.03709497378616744,0.0016148955880201932,0.03821749832961485,0.011195841023756925,tractorsupply
2019-08-01,9197441.103764838,0.5116689303777564,184.30787209708285,93540182.5038612,4.070029286512602,37433854.65329768,-0.11137905726520403,0.003221112552385108,-0.0018828875394137912,-0.04321768174725649,-0.0008323788583392,-0.11211872655101396,tractorsupply
2019-09-01,8919886.159447333,0.5071824504214645,184.72951393275895,91521365.58574744,3.970636097873503,35417621.97362383,-0.03017740925830903,-0.008768325942674737,0.0022877038884916434,-0.02158234957506555,-0.024420755145048045,-0.05386120928094784,tractorsupply
2019-10-01,9645055.016847458,0.5298183101242095,181.37246483631424,98182198.87338127,3.805165668089762,36701032.216944866,0.08129799466466014,0.04463060518741302,-0.018172781517016623,0.07277899805147925,-0.04167353182336697,0.03623648827345938,tractorsupply
2019-11-01,14678904.297136342,0.5207349607242251,181.56450586332028,97943937.20718531,3.7335997300475228,54805153.12118167,0.5219098565530242,-0.01714427234093696,0.0010588212889941495,-0.0024267297833003854,-0.01880757482976192,0.4932864230417511,tractorsupply
2019-12-01,14569310.975114636,0.519351290022578,190.8488630212387,91889262.98545831,4.112975405951498,59923217.72230573,-0.007466042410473772,-0.002657149617384502,0.05113530925977128,-0.06181775405780621,0.10161123401922523,0.09338655782618321,tractorsupply
2020-01-01,9244494.955981217,0.523838334209166,176.32886505937086,126140309.61726321,3.88514127129478,35916168.88575905,-0.36548166404221605,0.008639709331217826,-0.07608113421274088,0.3727426417298092,-0.055393993926401985,-0.4006301688904522,tractorsupply
2020-02-01,9446527.170274956,0.5250784815562191,178.7719926919347,120655681.46451181,3.833414322303695,36212452.550563015,0.02185432684594879,0.0023674238139239634,0.013855517256016192,-0.043480376490219075,-0.013314045842622857,0.00824931149383934,tractorsupply
2020-03-01,13086263.314716853,0.5106384364941317,191.19066455159327,176260242.33942798,3.9620955295057434,51849025.37717465,0.3852988594469853,-0.027500736688523597,0.06946654043879685,0.46085323293516867,0.033568301358230634,0.43180098903211483,tractorsupply
2020-04-01,19719284.420135893,0.5114628096426511,204.14001219316424,151536384.00841248,4.5399395712658,89524359.65602012,0.5068689927673642,0.0016143969775939127,0.06773002056319832,-0.14026905899405406,0.14584303620567707,0.7266353418367468,tractorsupply
2020-05-01,22970584.167669766,0.5148630052355618,182.26848864198018,132997850.82458311,3.9980769719357263,91838163.59267187,0.16487919532282236,0.006647982079647896,-0.10713981701190689,-0.12233717535981459,-0.11935458409174271,0.02584552344794311,tractorsupply
2020-06-01,18799703.0476504,0.5220050759962106,174.35314833019066,123327605.59982422,3.654598767733386,68705371.59169674,-0.1815748824485589,0.013871788588463607,-0.043426817058527245,-0.0727097856454344,-0.08591085329606352,-0.2518864826563343,tractorsupply
2020-07-01,17808990.039274268,0.5185784977904192,173.23495450522088,126362603.4747155,3.564493012131045,63480020.54810452,-0.05269833283350467,-0.006564262232990781,-0.006413384763503949,0.02460923375695212,-0.024655444093586665,-0.07605447612808958,tractorsupply
2020-08-01,16191730.916811213,0.5220571479607342,167.01424053443793,130760972.20750013,3.596271713384243,58229863.88685728,-0.09081138901737296,0.006708049379480663,-0.03590911538927022,0.03480751909060431,0.008915349572869324,-0.08270565472279146,tractorsupply
2020-09-01,16734069.736312546,0.5332740516607166,174.44126680170046,120299192.7872484,3.572950194734575,59789997.72305987,0.03349480190152154,0.02148596900511368,0.04446941915549463,-0.08000689535750993,-0.0064849156316171275,0.026792675305475244,tractorsupply
